Epochs,Loss,Accuracy,Precision,Recall,F1-Score
1,0.661446512,0.579849652,0.662731108,0.62114792,0.634584872
2,0.637633622,0.642909529,0.62813297,0.958217771,0.757587667
3,0.614678681,0.635293887,0.616621441,0.987731125,0.759074632
4,0.592006475,0.662691864,0.63612665,0.984700822,0.772930713
5,0.569523245,0.695727906,0.663642821,0.969401644,0.787868762
6,0.547041684,0.711908691,0.683926941,0.94230226,0.792568872
7,0.525437385,0.729425323,0.70458221,0.92306112,0.798998797
8,0.505301207,0.754865367,0.729885057,0.919883154,0.813829787
9,0.486939043,0.769075122,0.748499834,0.9086736,0.820644783
10,0.470954686,0.776009744,0.761790657,0.896404725,0.823171591
11,0.45753935,0.77898266,0.77000777,0.886106831,0.823421623
12,0.446350694,0.781615066,0.775227363,0.883692861,0.825520702
13,0.436813906,0.782937818,0.779160941,0.878543914,0.825475604
14,0.428749606,0.787233485,0.785166399,0.87642527,0.827966976
15,0.421824798,0.791522605,0.788339872,0.881426554,0.832022477
